,Workbookname,Date,Time,Type,Total Consumption (kWh),Distance,Mean Consumption,Total Time (ms),Average Speed,StdDev Speed,Average Acceleration,StdDev Acceleration,Average Jerk,StdDev Jerk,Initial SOC,Temperature,In Traffic,No Traffic
19,2018-11-07T19-48-33.csv,2018-11-07,14:48:33,No Traffic,5.829519288194444,27.409201098915577,0.0019144562522806045,3044000.0,52.15073891625616,26.504764967419185,-0.0008212877792378452,0.7752937074940451,-0.0006389893014934093,0.5964006554056263,33.5,14.733990147783251,0,1
20,2018-11-28T13-17-30.csv,2018-11-28,08:17:30,In Traffic,6.844636284722222,26.905372623876605,0.0025210446720892155,2714000.0,57.41436464088398,28.24629047308138,-1.309032306116618e-18,0.826737352980081,-0.0003071630421427692,0.6240774146533343,58.0,2.539594843462247,1,0
21,2018-11-07T13-22-03.csv,2018-11-07,08:22:03,In Traffic,7.265156961805555,28.019870898397816,0.0026818593435974534,2708000.0,59.92506459948321,31.630469927137565,0.00020515345478417857,1.1224435244272797,0.0,1.1459791373261927,44.5,12.46843853820598,1,0
22,2018-11-21T15-57-44.csv,2018-11-21,10:57:44,No Traffic,7.2364486631944445,28.01590102689196,0.002735897415196385,2644000.0,61.366351606805296,25.25909615290702,8.398056162066237e-20,0.8791081265799572,-0.0010509942405515615,0.701463021938749,51.5,4.020793950850662,0,1
23,2018-11-26T12-34-09.csv,2018-11-26,07:34:09,In Traffic,7.065515364583334,27.239359639704038,0.0024296820373395185,2907000.0,54.26925722145805,26.69894957404923,-1.2221237285175441e-18,0.8106900494220298,-0.00028676301904106494,0.6452090565109508,47.0,4.472489683631362,1,0
24,2018-11-29T12-35-21.csv,2018-11-29,07:35:21,In Traffic,9.428443142361111,29.395517676767618,0.0031014615599872074,3039000.0,56.02203947368421,27.730615030838553,-0.00027421300866513186,1.0378697537765091,0.0,0.9257551763925704,64.0,2.714144736842105,1,0
25,2018-11-30T15-54-22.csv,2018-11-30,10:54:22,No Traffic,6.547548298611111,26.835986174076847,0.002695573609967529,2428000.0,64.00905722519555,24.407102910082497,0.0002288120080541846,0.9297863662523248,-0.0013734377145996444,0.7647901132299016,51.0,3.3709345409633595,0,1
26,2018-11-14T13-37-37.csv,2018-11-14,08:37:37,In Traffic,8.293731840277779,28.260997441607557,0.002888795485990176,2870000.0,57.03030303030303,29.224758987071066,-9.678668215253608e-05,1.0617876758630695,-9.682041748964049e-05,0.8635994745664562,74.5,1.9853709508881923,1,0
27,2018-11-21T13-08-24.csv,2018-11-21,08:08:24,In Traffic,8.027850711805556,27.668796174783918,0.0030758048704235858,2609000.0,61.418773946360155,24.935956912369384,-0.0004258762403645509,0.9809773807581801,-0.00021301976823449208,0.8406003460651676,41.5,1.1731800766283524,1,0
28,2018-11-26T19-23-11.csv,2018-11-26,14:23:11,No Traffic,6.727766493055555,26.828736843500614,0.00254936206633405,2638000.0,58.899583175445244,26.53332970281112,0.0005264931345295257,0.8609313460828082,-0.00031601567437744934,0.710404950539501,55.5,7.283061765820387,0,1
29,2018-11-29T19-33-55.csv,2018-11-29,14:33:55,No Traffic,6.91396138888889,27.03706879600901,0.002490620096861996,2775000.0,56.42759365994236,25.773059796782423,0.002302302302302301,0.8609927059727694,0.00040054474084755287,0.7336234233466136,63.0,5.787824207492795,0,1
